measurement_date,station_id,station_name,city,state,county,latitude,longitude,elevation_m,pollutant_code,pollutant_name,measurement_value,unit_of_measure,aqi_value,aqi_category,data_source,method,quality_flag,certified
2022-01-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,10.456,µg/m³,29,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,37.012,µg/m³,100,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,41.399,ppb,59,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,21.913,ppb,77,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.914,ppb,45,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.408,ppm,48,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0102,OKC East Monitor,Oklahoma City,OK,Oklahoma County,35.4272,-97.3956,362,PM2.5,Fine Particulate Matter,14.136,µg/m³,40,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0102,OKC East Monitor,Oklahoma City,OK,Oklahoma County,35.4272,-97.3956,362,PM10,Coarse Particulate Matter,28.145,µg/m³,76,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0102,OKC East Monitor,Oklahoma City,OK,Oklahoma County,35.4272,-97.3956,362,O3,Ozone,36.643,ppb,52,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2022-01-01,40-109-0102,OKC East Monitor,Oklahoma City,OK,Oklahoma County,35.4272,-97.3956,362,NO2,Nitrogen Dioxide,0.467,ppb,1,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
