measurement_date,station_id,city,state,county,latitude,longitude,elevation_m,pollutant_code,pollutant_name,measurement_value,unit_of_measure,naaqs_standard,aqi_value,aqi_category,exceeds_naaqs,data_source,method,quality_flag,certified
2025-01-01,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,13.997,µg/m³,12.0,116,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,23.054,µg/m³,150.0,15,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,57.172,ppb,70.0,81,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,27.294,ppb,100.0,27,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,2.449,ppb,75.0,3,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0101,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.504,ppm,9.0,5,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,PM2.5,Fine Particulate Matter,18.435,µg/m³,12.0,153,Unhealthy,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,PM10,Coarse Particulate Matter,29.576,µg/m³,150.0,19,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,O3,Ozone,43.766,ppb,70.0,62,Moderate,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,NO2,Nitrogen Dioxide,21.607,ppb,100.0,21,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,SO2,Sulfur Dioxide,2.174,ppb,75.0,2,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-109-0102,Oklahoma City,OK,Oklahoma County,35.5428,-97.4781,371,CO,Carbon Monoxide,0.462,ppm,9.0,5,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,PM2.5,Fine Particulate Matter,12.952,µg/m³,12.0,107,Unhealthy for Sensitive Groups,Yes,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2025-01-01,40-143-0001,Tulsa,OK,Tulsa County,36.154,-95.9928,183,PM10,Coarse Particulate Matter,10.274,µg/m³,150.0,6,Good,No,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
