respondent_id,job_title,company_size_band,industry,region,annual_budget_data_governance_usd,data_governance_awareness_1_10,pain_point_severity_1_10,purchase_appetite_score_1_10,typical_decision_cycle_days,primary_purchase_driver,open_to_fractional_data_consulting,survey_wave
RESP-1000,Head of Data,1-10 employees,Nonprofit,Southwest,2663,7,10,7.6,46,Regulatory compliance pressure,Yes,2026-Q2
RESP-1001,IT Director,51-100 employees,Logistics,Midwest,84812,3,6,4.2,48,Internal data quality problems,No,2026-Q2
RESP-1002,Operations Director,26-50 employees,Technology/SaaS,Northeast,23505,2,7,3.3,46,Customer trust / vendor requirement,Yes,2026-Q2
RESP-1003,IT Manager,1-10 employees,Healthcare,West,4235,4,10,4.9,40,Regulatory compliance pressure,No,2026-Q2
RESP-1004,Head of Data,101-250 employees,Manufacturing,West,29171,10,9,3.7,10,Customer trust / vendor requirement,No,2026-Q2
RESP-1005,Operations Director,11-25 employees,Manufacturing,Midwest,5153,1,3,2.0,67,Internal data quality problems,Maybe,2026-Q2
RESP-1006,Head of Data,26-50 employees,Healthcare,Northeast,25721,2,5,2.4,60,Customer trust / vendor requirement,Yes,2026-Q2
RESP-1007,CIO,11-25 employees,Logistics,Northeast,7283,7,10,5.9,14,Competitive pressure,No,2026-Q2
RESP-1008,Operations Director,51-100 employees,Financial Services,West,44647,8,10,6.3,27,Competitive pressure,Maybe,2026-Q2
RESP-1009,Head of Data,26-50 employees,Construction,Southwest,6798,5,7,4.7,34,Internal data quality problems,Yes,2026-Q2
RESP-1010,IT Director,1-10 employees,Real Estate,South,1837,1,7,1.0,62,Recent data incident or near-miss,Yes,2026-Q2
RESP-1011,Operations Director,51-100 employees,Healthcare,Midwest,45303,5,6,1.7,29,Customer trust / vendor requirement,No,2026-Q2
RESP-1012,IT Director,101-250 employees,Technology/SaaS,South,136239,9,10,7.0,10,Data monetization opportunity,Maybe,2026-Q2
RESP-1013,VP of Technology,1-10 employees,Logistics,Northeast,3313,3,9,4.0,42,Regulatory compliance pressure,Yes,2026-Q2
RESP-1014,CTO,11-25 employees,Retail/E-commerce,Midwest,6906,5,10,4.3,38,Competitive pressure,Maybe,2026-Q2
RESP-1015,VP of Technology,101-250 employees,Financial Services,West,114611,8,6,1.6,53,Internal data quality problems,Yes,2026-Q2
RESP-1016,VP of Technology,11-25 employees,Nonprofit,Midwest,9570,5,8,3.3,62,Data monetization opportunity,Maybe,2026-Q2
RESP-1017,CIO,11-25 employees,Retail/E-commerce,Midwest,9118,7,3,2.7,49,Recent data incident or near-miss,Maybe,2026-Q2
RESP-1018,Operations Director,51-100 employees,Logistics,South,41871,3,8,4.2,44,Regulatory compliance pressure,Maybe,2026-Q2
RESP-1019,Owner/Principal,26-50 employees,Professional Services,West,26114,1,10,4.5,51,Competitive pressure,Yes,2026-Q2
RESP-1020,IT Manager,1-10 employees,Healthcare,South,2436,4,8,6.7,44,Competitive pressure,No,2026-Q2
