measurement_date,station_id,station_name,city,state,county,latitude,longitude,elevation_m,pollutant_code,pollutant_name,measurement_value,unit_of_measure,aqi_value,aqi_category,data_source,method,quality_flag,certified
2026-05-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,11.237,µg/m³,61,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,17.504,µg/m³,47,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,45.772,ppb,60,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,23.034,ppb,81,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.819,ppb,43,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-01,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.378,ppm,44,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-02,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,15.675,µg/m³,85,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-02,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,24.026,µg/m³,64,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-02,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,32.366,ppb,42,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-02,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,17.347,ppb,61,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-02,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.544,ppb,36,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-02,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.336,ppm,40,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-03,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,10.192,µg/m³,55,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-03,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,4.724,µg/m³,12,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-03,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,17.301,ppb,22,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-03,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,10.939,ppb,38,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-03,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,0.885,ppb,21,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-03,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.477,ppm,56,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-04,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,5.477,µg/m³,29,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-04,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,8.331,µg/m³,22,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-04,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,55.588,ppb,73,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-04,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,12.89,ppb,45,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-04,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,2.181,ppb,51,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-04,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.164,ppm,19,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-05,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,6.968,µg/m³,37,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-05,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,19.299,µg/m³,52,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-05,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,24.188,ppb,31,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-05,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,16.379,ppb,57,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-05,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.379,ppb,32,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-05,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.367,ppm,43,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-06,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,6.733,µg/m³,36,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-06,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,31.836,µg/m³,86,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-06,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,37.838,ppb,49,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-06,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,8.065,ppb,28,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-06,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,3.087,ppb,73,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-06,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.2,ppm,23,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-07,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,10.056,µg/m³,54,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-07,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,4.39,µg/m³,11,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-07,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,22.062,ppb,29,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-07,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,15.342,ppb,54,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-07,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,2.986,ppb,71,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-07,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.451,ppm,53,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-08,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,8.726,µg/m³,47,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-08,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,16.332,µg/m³,44,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-08,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,20.258,ppb,26,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-08,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,10.025,ppb,35,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-08,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.547,ppb,36,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-08,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.61,ppm,72,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-09,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,10.609,µg/m³,57,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-09,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,5.806,µg/m³,15,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-09,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,41.889,ppb,55,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-09,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,11.967,ppb,42,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-09,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,1.288,ppb,30,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-09,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.53,ppm,63,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-10,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,13.427,µg/m³,72,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-10,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,25.205,µg/m³,68,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-10,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,27.929,ppb,36,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-10,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,12.407,ppb,43,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-10,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,2.498,ppb,59,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-10,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.596,ppm,70,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-11,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,7.235,µg/m³,39,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-11,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,17.163,µg/m³,46,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-11,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,24.724,ppb,32,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-11,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,7.262,ppb,25,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-11,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,3.075,ppb,73,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-11,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.664,ppm,79,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-12,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM2.5,Fine Particulate Matter,8.905,µg/m³,48,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-12,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,PM10,Coarse Particulate Matter,25.725,µg/m³,69,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-12,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,O3,Ozone,42.34,ppb,55,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-12,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,NO2,Nitrogen Dioxide,10.458,ppb,36,Good,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-12,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,SO2,Sulfur Dioxide,2.534,ppb,60,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
2026-05-12,40-109-0101,OKC North Monitor,Oklahoma City,OK,Oklahoma County,35.4676,-97.5164,366,CO,Carbon Monoxide,0.697,ppm,82,Moderate,EPA AQS,FEM/FRM Continuous Monitor,Valid,Yes
