order_id,order_date,ship_date,customer_name,customer_id,state,product_description,quantity,unit_price,discount_rate,subtotal,discount_amount,order_total,payment_terms,payment_received,sales_rep,order_category
ORD-5000,2024-02-28,2024-03-02,Missouri Valley Growers,AG-1076,MO,Urea Fertilizer,44,618.32,0.05,27206.08,1360.3,25845.78,Net 60,No,A. Okafor,Spring Planting
ORD-5001,2024-01-04,2024-01-06,Flint Hills Farms,AG-1022,MO,Winter Wheat Seed,49,260.91,0.0,12784.59,0.0,12784.59,Net 30,No,A. Okafor,Fall Planting
ORD-5002,2024-07-13,2024-07-18,Flint Hills Farms,AG-1055,IA,Irrigation Equipment,36,749.18,0.0,26970.48,0.0,26970.48,Net 30,Yes,B. Callahan,Spring Planting
ORD-5003,2024-08-23,2024-08-24,Hawkeye Farm Supply,AG-1041,MO,Herbicide Concentrate,37,386.74,0.05,14309.38,715.47,13593.91,Net 60,Yes,B. Callahan,Fall Planting
ORD-5004,2024-11-12,2024-11-16,Gateway Agricultural,AG-1050,IA,Soybean Seed (50lb bag),28,758.59,0.0,21240.52,0.0,21240.52,Credit Card,Yes,B. Callahan,Maintenance
ORD-5005,2024-06-22,2024-06-24,Sunflower Ag Supply,AG-1044,MO,Soybean Seed (50lb bag),33,580.07,0.1,19142.31,1914.23,17228.08,Net 30,Yes,T. Morrison,Fall Planting
ORD-5006,2024-04-30,2024-05-01,Iowa Crop Solutions,AG-1059,KS,Anhydrous Ammonia,12,554.03,0.0,6648.36,0.0,6648.36,Net 30,Yes,A. Okafor,Emergency
ORD-5007,2024-12-14,2024-12-19,Border Plains Ag,AG-1056,IA,Grain Auger,21,775.29,0.0,16281.09,0.0,16281.09,Net 30,Yes,A. Okafor,Maintenance
ORD-5008,2024-05-20,2024-05-25,Gateway Agricultural,AG-1009,KS,Irrigation Equipment,5,307.29,0.05,1536.45,76.82,1459.63,Net 30,No,T. Morrison,Spring Planting
ORD-5009,2024-11-10,2024-11-15,Prairie Land Co-op,AG-1041,IA,Fungicide Spray,38,513.4,0.0,19509.2,0.0,19509.2,Credit Card,Yes,S. Nguyen,Emergency
ORD-5010,2024-09-13,2024-09-15,Midwest Grain Partners,AG-1056,KS,Soybean Seed (50lb bag),22,875.12,0.0,19252.64,0.0,19252.64,Net 30,No,A. Okafor,Fall Planting
ORD-5011,2024-07-05,2024-07-08,Prairie Land Co-op,AG-1008,MO,Herbicide Concentrate,50,330.92,0.1,16546.0,1654.6,14891.4,Net 30,Yes,T. Morrison,Maintenance
ORD-5012,2024-02-18,2024-02-23,Prairie Land Co-op,AG-1044,IA,Urea Fertilizer,17,656.55,0.1,11161.35,1116.13,10045.22,Net 30,Yes,S. Nguyen,Maintenance
ORD-5013,2024-12-01,2024-12-07,Prairie Land Co-op,AG-1016,IA,Winter Wheat Seed,39,643.96,0.0,25114.44,0.0,25114.44,Net 60,Yes,T. Morrison,Spring Planting
