permit_number,issue_date,estimated_completion,city,state,county,fips_code,latitude,longitude,permit_type,zoning_classification,square_footage,project_valuation,status,contractor_licensed,environmental_review,flood_zone,nearest_epa_station,data_source,public_record
BP-2025001,2025-10-03,2026-10-26,Norman,OK,Cleveland,40027,36.281386,-97.480406,Office Park,PUD Planned Unit Development,33443,7365404.57,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025002,2025-03-12,2026-04-05,Broken Arrow,OK,Tulsa,40143,35.456135,-97.101145,Mixed-Use Development,I-1 Light Industrial,29400,6398448.48,Issued,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025003,2025-03-30,2026-02-07,Oklahoma City,OK,Oklahoma,40109,35.750319,-97.086741,Food Processing Facility,C-1 Neighborhood Commercial,75025,6389059.0,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025004,2025-05-28,2026-07-11,Wichita,KS,Sedgwick,20173,36.742568,-97.744317,New Commercial Construction,M-1 Medical District,70904,7552584.46,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025005,2026-04-09,2026-08-04,Tulsa,OK,Tulsa,40143,36.355946,-96.074907,Commercial Renovation,C-1 Neighborhood Commercial,34047,5618092.32,Completed,Pending,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025006,2025-09-23,2026-09-19,Broken Arrow,OK,Tulsa,40143,37.060361,-97.316246,New Commercial Construction,PUD Planned Unit Development,25747,4181993.88,Under Review,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025007,2026-06-11,2027-06-03,Tulsa,OK,Tulsa,40143,35.923221,-96.996784,New Commercial Construction,C-1 Neighborhood Commercial,83414,25998511.0,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025008,2025-03-17,2026-03-22,Broken Arrow,OK,Tulsa,40143,35.818775,-96.141936,Data Center,I-2 Heavy Industrial,38810,7343060.49,Issued,Yes,Pending,Zone X,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025009,2025-04-18,2025-06-04,Tulsa,OK,Tulsa,40143,35.462869,-97.362505,Warehouse/Distribution,I-2 Heavy Industrial,5488,1327761.79,Completed,Yes,Pending,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025010,2025-01-23,2025-06-15,Oklahoma City,OK,Oklahoma,40109,37.405348,-97.084202,Warehouse/Distribution,C-1 Neighborhood Commercial,71032,13072814.24,Under Review,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025011,2026-05-30,2027-06-20,Norman,OK,Cleveland,40027,35.83888,-96.966804,New Commercial Construction,PUD Planned Unit Development,47620,11558940.7,Completed,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025012,2025-10-23,2026-12-31,Wichita,KS,Sedgwick,20173,35.959986,-96.634679,Data Center,C-2 General Commercial,53690,10776892.5,Under Review,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025013,2026-05-20,2026-11-25,Oklahoma City,OK,Oklahoma,40109,35.581622,-97.528797,Retail Complex,C-2 General Commercial,2892,808675.23,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025014,2025-01-15,2025-11-29,Broken Arrow,OK,Tulsa,40143,37.683902,-97.499994,Mixed-Use Development,C-2 General Commercial,66608,7297202.56,Issued,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025015,2026-06-09,2027-08-22,Tulsa,OK,Tulsa,40143,36.959212,-96.89026,Food Processing Facility,M-1 Medical District,21315,3428593.01,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025016,2025-11-19,2026-03-01,Wichita,KS,Sedgwick,20173,35.498057,-96.431777,Industrial Build-Out,I-2 Heavy Industrial,50577,8386429.75,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025017,2026-06-04,2027-05-08,Oklahoma City,OK,Oklahoma,40109,37.321043,-97.644228,Medical Facility,I-2 Heavy Industrial,22321,6861525.24,Issued,Pending,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025018,2026-04-24,2026-10-16,Oklahoma City,OK,Oklahoma,40109,35.376914,-97.147583,Medical Facility,PUD Planned Unit Development,33640,8317528.71,Issued,Yes,Pending,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025019,2026-05-26,2027-03-19,Broken Arrow,OK,Tulsa,40143,36.248443,-95.937392,Medical Facility,C-2 General Commercial,14967,3602637.39,Under Review,Yes,Pending,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025020,2025-04-14,2026-02-10,Tulsa,OK,Tulsa,40143,36.604469,-97.582464,New Commercial Construction,I-1 Light Industrial,54634,8494011.43,Completed,Yes,Pending,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025021,2025-11-07,2026-07-10,Norman,OK,Cleveland,40027,35.668904,-96.061411,New Commercial Construction,I-2 Heavy Industrial,47502,4766415.27,Issued,Pending,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025022,2025-02-10,2026-06-21,Wichita,KS,Sedgwick,20173,35.734652,-96.808684,Retail Complex,I-2 Heavy Industrial,43391,13045172.52,Completed,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025023,2025-06-23,2025-08-20,Tulsa,OK,Tulsa,40143,37.619666,-97.554276,Warehouse/Distribution,PUD Planned Unit Development,58192,12417497.66,Under Review,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025024,2026-05-10,2027-08-25,Tulsa,OK,Tulsa,40143,36.747374,-95.862292,Data Center,I-1 Light Industrial,39095,6654130.24,Under Review,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025025,2025-12-25,2026-02-14,Wichita,KS,Sedgwick,20173,37.675053,-97.081899,Food Processing Facility,I-2 Heavy Industrial,15379,3051431.66,Completed,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025026,2026-01-26,2027-07-03,Tulsa,OK,Tulsa,40143,36.56458,-96.657834,Data Center,M-1 Medical District,62236,16724449.95,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025027,2025-01-21,2025-09-27,Oklahoma City,OK,Oklahoma,40109,36.487527,-97.011079,Commercial Renovation,I-1 Light Industrial,83007,12916725.21,Issued,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025028,2025-07-09,2026-06-03,Norman,OK,Cleveland,40027,35.516641,-95.842973,Food Processing Facility,C-2 General Commercial,78968,11550442.69,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025029,2025-07-23,2026-01-22,Tulsa,OK,Tulsa,40143,37.781784,-96.754925,New Commercial Construction,I-1 Light Industrial,44142,10204537.59,Issued,Yes,Pending,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025030,2025-06-26,2025-10-03,Broken Arrow,OK,Tulsa,40143,37.455978,-96.042301,Data Center,I-2 Heavy Industrial,22201,5092984.19,Issued,Yes,Passed,No,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025031,2026-05-03,2027-05-07,Broken Arrow,OK,Tulsa,40143,36.13905,-95.978569,Food Processing Facility,PUD Planned Unit Development,64541,14936407.71,Completed,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025032,2025-03-11,2025-06-19,Norman,OK,Cleveland,40027,37.375123,-96.601603,Retail Complex,C-2 General Commercial,36933,9765011.34,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025033,2025-08-03,2026-02-24,Oklahoma City,OK,Oklahoma,40109,37.023301,-96.568906,Warehouse/Distribution,I-1 Light Industrial,58144,17701055.37,Issued,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025034,2025-04-05,2025-11-25,Oklahoma City,OK,Oklahoma,40109,35.749291,-97.767689,New Commercial Construction,C-2 General Commercial,58182,13542195.83,Completed,Yes,Passed,Zone AE,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025035,2025-04-25,2026-09-28,Tulsa,OK,Tulsa,40143,37.210724,-95.89729,New Commercial Construction,C-1 Neighborhood Commercial,76223,13829423.64,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025036,2025-01-14,2026-06-07,Oklahoma City,OK,Oklahoma,40109,36.778746,-96.381429,Office Park,M-1 Medical District,44140,5640355.95,Issued,Yes,Passed,Zone X,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025037,2025-04-22,2025-07-08,Wichita,KS,Sedgwick,20173,37.148675,-96.681453,Commercial Renovation,M-1 Medical District,72046,14688867.85,Under Review,Yes,Passed,Zone AE,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025038,2025-08-12,2026-05-31,Wichita,KS,Sedgwick,20173,35.929643,-95.824865,Commercial Renovation,M-1 Medical District,19007,2532354.96,Issued,Yes,Passed,Zone X,20-173-0001,Municipal Building Permit Registry,Yes
BP-2025039,2026-04-26,2027-05-28,Tulsa,OK,Tulsa,40143,35.681293,-96.564482,Mixed-Use Development,PUD Planned Unit Development,30955,3782385.78,Issued,Yes,Passed,No,40-143-0001,Municipal Building Permit Registry,Yes
BP-2025040,2025-09-19,2025-11-29,Tulsa,OK,Tulsa,40143,37.484493,-96.263151,New Commercial Construction,C-1 Neighborhood Commercial,41105,12082440.06,Under Review,Yes,Passed,No,40-109-0101,Municipal Building Permit Registry,Yes
BP-2025041,2025-01-19,2025-06-25,Broken Arrow,OK,Tulsa,40143,35.718637,-97.5927,New Commercial Construction,I-2 Heavy Industrial,28202,5556680.58,Completed,Yes,Passed,Zone AE,40-143-0001,Municipal Building Permit Registry,Yes
