record_id,week_start_date,week_end_date,zip_code,city,state,county,facility_name,icd10_code,diagnosis_description,admission_count,er_visit_count,avg_length_of_stay,avg_aqi_for_week,data_source,reporting_period,data_classification,hipaa_compliant,certified
HAR-10000,2025-01-01,2025-01-07,73101,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J44.1,COPD with acute exacerbation,17,44,2.7,51.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10001,2025-01-01,2025-01-07,73101,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J45.1,Mild persistent asthma,18,23,3.4,21.4,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10002,2025-01-01,2025-01-07,73101,Oklahoma City,OK,Oklahoma,St. Francis Hospital Tulsa,J22,Acute lower respiratory infection,23,33,3.4,62.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10003,2025-01-01,2025-01-07,73101,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J45.1,Mild persistent asthma,12,31,2.7,70.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10004,2025-01-01,2025-01-07,73101,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J45.2,Moderate persistent asthma,11,37,3.1,42.6,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10005,2025-01-01,2025-01-07,73101,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J44.1,COPD with acute exacerbation,16,33,2.4,39.1,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10006,2025-01-01,2025-01-07,73102,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J44.1,COPD with acute exacerbation,8,53,2.6,37.0,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10007,2025-01-01,2025-01-07,73102,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J45.1,Mild persistent asthma,13,41,2.2,21.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10008,2025-01-01,2025-01-07,73102,Oklahoma City,OK,Oklahoma,Ascension Via Christi Wichita,J06.9,Acute upper respiratory infection,18,38,2.5,61.8,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
HAR-10009,2025-01-01,2025-01-07,73102,Oklahoma City,OK,Oklahoma,University of Kansas Health System,J45.0,Mild intermittent asthma,17,41,2.5,28.5,Regional Health Information Exchange,Weekly,Aggregated — No PHI,Yes,Yes
